BusinessEntityID,rowguid,ModifiedDate,extraction_date
1,0C7D8F81-D7B1-4CF0-9C0A-4CD8B6B50087,2017-12-13T13:20:24.150Z,2025-04-24T15:15:54.614Z
2,6648747F-7843-4002-B317-65389684C398,2017-12-13T13:20:24.430Z,2025-04-24T15:15:54.614Z
3,568204DA-93D7-42F4-8A7A-4446A144277D,2017-12-13T13:20:24.540Z,2025-04-24T15:15:54.614Z
4,0EFF57B9-4F4F-41A6-8867-658C199A5FC0,2017-12-13T13:20:24.570Z,2025-04-24T15:15:54.614Z
5,B82F88D1-FF79-4FD9-8C54-9D24C140F647,2017-12-13T13:20:24.633Z,2025-04-24T15:15:54.614Z
6,1B3D077A-1941-4D6E-8328-F7DC03595565,2017-12-13T13:20:24.680Z,2025-04-24T15:15:54.614Z
7,C1898370-A36F-43A2-987C-0BF24FE3FB82,2017-12-13T13:20:24.727Z,2025-04-24T15:15:54.614Z
8,2B50ABB8-ABAB-412B-A4D0-4FD5EBEB5CBE,2017-12-13T13:20:24.773Z,2025-04-24T15:15:54.614Z
9,5C0AB449-A087-4D8D-834F-3726061B6BFA,2017-12-13T13:20:24.803Z,2025-04-24T15:15:54.614Z
10,0F3CC1D7-F484-4BDE-B088-B11EF03E2F52,2017-12-13T13:20:24.850Z,2025-04-24T15:15:54.614Z
11,A417A3D1-00EB-4D7F-B793-F93DC2C5391D,2017-12-13T13:20:24.900Z,2025-04-24T15:15:54.614Z
12,EBD8A50F-322E-4426-A39A-566FD5535B1C,2017-12-13T13:20:24.947Z,2025-04-24T15:15:54.614Z
13,1D61C426-FF79-4E23-9EA5-9610CB063F3B,2017-12-13T13:20:24.993Z,2025-04-24T15:15:54.614Z
14,C596EC29-BA16-441B-A5EC-7FED4C8344C4,2017-12-13T13:20:25.040Z,2025-04-24T15:15:54.614Z
15,955E421A-0AEB-4D8F-AE74-88EFFB82E41A,2017-12-13T13:20:25.087Z,2025-04-24T15:15:54.614Z
16,BC224F3F-1776-450E-991A-B2F2FB10F39A,2017-12-13T13:20:25.133Z,2025-04-24T15:15:54.614Z
17,A51C9689-FA2B-4162-8CAD-B2500471221A,2017-12-13T13:20:25.350Z,2025-04-24T15:15:54.614Z
18,301054EA-0FDC-47D4-BBD1-8DBEB189EAD7,2017-12-13T13:20:25.400Z,2025-04-24T15:15:54.614Z
19,5958EDCA-352F-44F4-A8F2-3BF8AFF699DF,2017-12-13T13:20:25.447Z,2025-04-24T15:15:54.614Z
20,85A4CF13-3DAD-496B-B1F7-27B990EF7EB8,2017-12-13T13:20:25.493Z,2025-04-24T15:15:54.614Z
21,11E4F0C7-D6B7-41BB-BAED-8AD7D052E378,2017-12-13T13:20:25.553Z,2025-04-24T15:15:54.614Z
22,F99503C8-3F5B-4D90-94E7-A14BD304A5B4,2017-12-13T13:20:25.617Z,2025-04-24T15:15:54.614Z
23,A1A1E909-83A7-40F4-98F5-5B0B2CA778CB,2017-12-13T13:20:25.680Z,2025-04-24T15:15:54.614Z
24,20CD83C8-A8E0-4800-B735-76D034EC114F,2017-12-13T13:20:25.727Z,2025-04-24T15:15:54.614Z
25,97447E48-4812-4737-88F7-A00CF1AD495C,2017-12-13T13:20:25.773Z,2025-04-24T15:15:54.614Z
